Dis_r       Dis_i      Devide_Dis        F_r      F_i      D_f       fit_norm		Cr         Fw         Fa			
7.70986		6.98474       0.475327       5.96106e+06        6.19647e+06        235415         0.832095			0.960114          0.450518            0.531109
12.3567		21.1614       0.631343       5.20403e+06        1.0119e+07        4.91496e+06         0.0758958			0.9          0.450518            0.792811
32.6501		30.8829       0.486092       5.94671e+06        6.10513e+06        158418         0.90806			0.952962          0.450518            0.529383
36.2381		21.861       0.376271       8.22303e+06        5.57913e+06        -2.6439e+06         3.98928			0.960114          0.450518            0.599761
19.9168		18.9688       0.48781       7.98144e+06        4.69218e+06        -3.28926e+06         13.6969			0.952962          0.450518            0.510293
9.99664		20.3959       0.671083       8.38571e+06        5.92581e+06        -2.4599e+06         2.30472			0.9          0.450518            0.867711
24.8439		12.6867       0.338036       5.69703e+06        5.65603e+06        -41004.7         1.02601			0.9          0.450518            1
3.94141		4.11752       0.510926       8.05084e+06        5.69596e+06        -2.35488e+06         3.02144			0.954824          0.450518            0.560074
13.4848		2.50854       0.156849       6.68345e+06        6.08178e+06        -601673         1.22421			0.952962          0.450518            0.381034
21.9969		33.3016       0.602215       5.31989e+06        7.19474e+06        1.87486e+06         0.405624			0.954824          0.450518            0.439036
13.9516		21.2287       0.603426       8.80926e+06        6.31884e+06        -2.49042e+06         2.50818			0.9          0.450518            0.899794
37.8137		7.39004       0.163483       3.54085e+06        5.4363e+06        1.89546e+06         -0.70094			0.952962          0.450518            0.112979
37.217		63.1657       0.629249       6.03795e+06        5.36328e+06        -674662         1.66541			0.960114          0.450518            0.572497
7.46595		17.4227       0.700026       4.53101e+06        6.33161e+06        1.8006e+06         -0.168903			0.960114          0.450518            1
3.42099		32.3832       0.904453       5.36328e+06        3.39821e+06        -1.96508e+06         -4.099			0.954824          0.450518            0.565893
7.72895		36.588       0.825598       5.74565e+06        4.19605e+06        -1.5496e+06         -4.84694			0.960114          0.450518            0.805818
94.4495		51.4967       0.352847       6.7575e+06        7.22729e+06        469786         0.868765			0.954824          0.450518            0.553077
3.38615		41.4984       0.924559       9.54201e+06        5.31989e+06        -4.22213e+06         4.02556			0.960114          0.450518            0.569896
15.6042		20.4203       0.566845       6.25203e+06        5.04752e+06        -1.20452e+06         5.75871			0.960114          0.450518            0.26147
32.4372		5.08669       0.135559       6.49611e+06        8.34317e+06        1.84706e+06         0.476591			0.954824          0.450518            0.563092
57.3875		23.7307       0.292545       5.93173e+06        4.30248e+06        -1.62925e+06         5.61978			0.9          0.450518            1
17.5949		24.7727       0.584709       4.2158e+06        6.44084e+06        2.22504e+06         -0.249192			0.956932          0.450518            0.50514
10.2019		10.1787       0.49943       5.78807e+06        5.9582e+06        170138         0.919236			0.952962          0.450518            0.54917
45.8426		45.6374       0.498879       5.35124e+06        6.95376e+06        1.60252e+06         0.4945			0.9          0.450518            1
43.0109		26.0732       0.377412       4.9045e+06        5.35535e+06        450847         0.563725			0.952962          0.450518            0.392047
2.7361		58.0529       0.95499       6.49171e+06        4.9045e+06        -1.58721e+06         4.36715			0.960114          0.450518            0.559301
7.48889		6.30711       0.457169       4.32194e+06        5.41893e+06        1.09698e+06         0.113326			0.952962          0.450518            0.515554
34.288		32.4775       0.486441       5.93003e+06        6.09154e+06        161506         0.91453			0.960114          0.450518            0.446745
16.8929		31.3411       0.649772       4.04042e+06        5.47975e+06        1.43933e+06         -0.0280099			0.960114          0.450518            0.517277
16.9708		43.4207       0.718987       6.39372e+06        7.03996e+06        646249         0.792574			0.9          0.450518            0.869847
13.6849		8.48143       0.382627       6.95376e+06        6.78885e+06        -164905         1.05808			0.952962          0.450518            0.577367
24.5894		17.0924       0.410069       7.07948e+06        3.86051e+06        -3.21898e+06         -4.95148			0.954824          0.450518            0.464018
5.88917		19.4221       0.76733       6.66573e+06        5.93003e+06        -735699         1.42081			0.956932          0.450518            0.77638
27.4997		62.3634       0.693982       8.38571e+06        5.51606e+06        -2.86965e+06         3.5744			0.9          0.450518            1
32.0948		30.8022       0.489725       5.51606e+06        6.15447e+06        638410         0.655284			0.960114          0.450518            0.502954
53.014		3.39361       0.0601622       5.31989e+06        6.74422e+06        1.42433e+06         0.305052			0.954824          0.450518            0.759289
51.5665		13.6404       0.209187       4.9045e+06        5.67691e+06        772408         0.394442			0.960114          0.450518            0.184981
23.8693		45.4716       0.655768       8.93522e+06        5.69703e+06        -3.23819e+06         4.66823			0.9          0.450518            0.928621
10.7774		3.0031       0.217924       7.24628e+06        5.66134e+06        -1.58494e+06         3.17939			0.954824          0.450518            0.869651
28.6481		3.57611       0.110976       6.95376e+06        6.68345e+06        -270306         1.12558			0.954824          0.450518            0.721451
45.6868		13.2865       0.225297       8.60385e+06        5.67638e+06        -2.92747e+06         3.90187			0.9          0.450518            0.853375
10.1534		20.4446       0.668169       5.82841e+06        4.86726e+06        -961150         5.62971			0.960114          0.450518            0.337808
3.78795		42.1195       0.917487       5.59388e+06        5.83984e+06        245962         0.785685			0.954824          0.450518            0.748021
21.6814		44.7191       0.673475       5.65603e+06        8.05084e+06        2.39482e+06         0.416044			0.952962          0.450518            1
24.2706		46.1994       0.65559       9.77033e+06        7.00591e+06        -2.76442e+06         1.93852			0.954824          0.450518            0.529481
5.25914		18.1854       0.775677       7.11669e+06        6.50468e+06        -612016         1.25675			0.954824          0.450518            0.488522
2.37418		7.43323       0.75792       3.78359e+06        7.22935e+06        3.44576e+06         -0.135977			0.954824          0.450518            0.643713
12.739		3.79832       0.229681       5.78807e+06        8.37118e+06        2.58311e+06         0.295208			0.956932          0.450518            0.518641
13.9268		28.5556       0.672175       5.51583e+06        5.83163e+06        315791         0.690936			0.960114          0.450518            0.527245
16.5861		17.5387       0.513957       8.83245e+06        5.86985e+06        -2.96261e+06         3.54578			0.954824          0.450518            0.493783
62.0232		3.25792       0.049906       5.33884e+06        7.74643e+06        2.40759e+06         0.205343			0.960114          0.450518            1
7.42541		11.8051       0.613874       4.9394e+06        6.35883e+06        1.41943e+06         0.00371472			0.954824          0.450518            0.355307
47.8739		73.3233       0.604992       5.64346e+06        5.65515e+06        11687.2         0.994179			0.956932          0.450518            0.570984
66.7393		49.3214       0.424962       8.60385e+06        8.3758e+06        -228047         1.06232			0.956932          0.450518            0.585234
10.7936		11.6214       0.518466       7.40624e+06        4.92576e+06        -2.48048e+06         3.32854			0.9          0.450518            0.900513
15.5607		39.2092       0.71589       4.89047e+06        5.45875e+06        568272         0.724212			0.952962          0.450518            1
18.7786		13.9791       0.426742       6.51645e+06        5.05642e+06        -1.46003e+06         3.05503			0.954824          0.450518            1
5.67019		60.1217       0.913816       4.06039e+06        8.7978e+06        4.73741e+06         -0.0649639			0.952962          0.450518            0.565529
19.4583		21.4936       0.52485       4.69218e+06        6.05886e+06        1.36668e+06         -0.0808402			0.9          0.450518            0.969609
2.87607		4.93141       0.631626       7.15163e+06        5.771e+06        -1.38063e+06         2.40184			0.954824          0.450518            0.537037
24.8469		10.6398       0.299825       5.36328e+06        3.85159e+06        -1.51169e+06         -2.49567			0.9          0.450518            0.87663
15.2826		50.7011       0.768388       8.3758e+06        5.45273e+06        -2.92307e+06         2.42275			0.9          0.450518            0.859054
10.9454		27.6282       0.716246       7.09938e+06        6.03795e+06        -1.06144e+06         1.59361			0.952962          0.450518            0.613224
71.207		51.5665       0.420014       6.51871e+06        4.40138e+06        -2.11733e+06         -3.20839			0.960114          0.450518            0.471326
19.0602		82.0518       0.811494       5.67638e+06        6.23529e+06        558912         0.792569			0.956932          0.450518            1
13.2369		2.87375       0.178376       6.35883e+06        5.13475e+06        -1.22408e+06         1.99166			0.9          0.450518            1
9.28737		12.5153       0.574026       5.45372e+06        7.07948e+06        1.62576e+06         0.302349			0.952962          0.450518            0.524184
12.1229		15.4377       0.560136       7.65109e+06        8.83245e+06        1.18136e+06         0.702044			0.9          0.450518            0.973081
26.4666		3.57044       0.118868       7.07094e+06        5.89752e+06        -1.17342e+06         2.07885			0.956932          0.450518            0.428549
13.1993		12.7951       0.492226       6.97305e+06        8.58271e+06        1.60966e+06         0.689525			0.954824          0.450518            0.426707
4.12895		18.7398       0.81945       7.24628e+06        5.32325e+06        -1.92303e+06         5.16487			0.952962          0.450518            0.500295
23.5844		18.7388       0.442755       4.86726e+06        5.58421e+06        716949         0.584065			0.952962          0.450518            1
4.34737		32.109       0.880751       5.06117e+06        6.51871e+06        1.45754e+06         0.20202			0.956932          0.450518            0.479119
34.3757		9.76692       0.221258       6.89072e+06        5.17514e+06        -1.71558e+06         2.72697			0.9          0.450518            0.765898
5.77157		38.5619       0.869815       5.40156e+06        8.72715e+06        3.32559e+06         0.12324			0.956932          0.450518            0.641833
26.0371		40.1061       0.606353       5.8591e+06        7.09938e+06        1.24028e+06         0.572808			0.954824          0.450518            0.672395
23.2746		5.34781       0.18684       5.94316e+06        8.02244e+06        2.07928e+06         0.364775			0.952962          0.450518            0.650796
11.6263		30.8103       0.726031       6.69398e+06        7.15163e+06        457651         0.805359			0.9          0.450518            0.978795
19.1425		7.98625       0.294383       5.43249e+06        5.49117e+06        58680.7         0.946154			0.954824          0.450518            0.59866
2.76195		5.41009       0.662025       5.57525e+06        4.53101e+06        -1.04424e+06         5.22818			0.956932          0.450518            0.511956
5.1441		8.67441       0.627739       5.43249e+06        4.7944e+06        -638088         1.71372			0.954824          0.450518            0.481027
11.0226		7.71808       0.411836       5.771e+06        9.54201e+06        3.77102e+06         0.181621			0.954824          0.450518            0.580399
14.4188		30.4818       0.678873       7.01419e+06        5.96106e+06        -1.05313e+06         1.6425			0.9          0.450518            0.868461
15.222		19.1799       0.557524       6.08178e+06        7.69645e+06        1.61468e+06         0.440629			0.956932          0.450518            0.298841
19.1395		24.7578       0.563994       8.24707e+06        4.93549e+06        -3.31159e+06         23.9499			0.952962          0.450518            0.483355
36.1016		6.67502       0.156043       8.01277e+06        5.81888e+06        -2.19389e+06         3.45642			0.960114          0.450518            0.588929
27.8421		5.34733       0.161115       6.07136e+06        5.82841e+06        -242946         1.24126			0.952962          0.450518            0.649691
43.1061		29.9902       0.410284       6.59252e+06        8.22303e+06        1.63052e+06         0.514945			0.956932          0.450518            0.651343
24.8411		15.8567       0.38962       5.89752e+06        5.57355e+06        -323965         1.35758			0.9          0.450518            0.663286
10.3921		6.45549       0.38317       5.39533e+06        6.69798e+06        1.30265e+06         0.346015			0.960114          0.450518            0.779999
26.2302		4.57653       0.148556       7.29023e+06        5.64346e+06        -1.64677e+06         2.92079			0.952962          0.450518            1
19.7261		28.9077       0.594395       4.06039e+06        5.88472e+06        1.82434e+06         -0.660606			0.960114          0.450518            0.581728
33.5887		20.7478       0.381839       7.15826e+06        7.85397e+06        695707         0.824032			0.960114          0.450518            0.6134
44.5251		32.0093       0.418234       6.23529e+06        5.35124e+06        -884053         2.66861			0.954824          0.450518            0.540062
6.87202		43.0213       0.862266       5.47612e+06        6.21667e+06        740552         0.63608			0.952962          0.450518            0.684805
11.5046		23.2976       0.669429       4.82143e+06        5.42834e+06        606916         0.550002			0.956932          0.450518            0.518371
4.36188		50.6346       0.920688       5.51583e+06        4.38208e+06        -1.13376e+06         3.35359			0.960114          0.450518            0.737169
18.7733		2.95379       0.13595       5.62258e+06        4.46108e+06        -1.1615e+06         -2.57332			0.954824          0.450518            0.610235
16.307		25.0109       0.605328       7.50454e+06        6.38098e+06        -1.12356e+06         1.58966			0.960114          0.450518            0.654623
3.21126		16.927       0.84054       6.79639e+06        6.51645e+06        -279941         1.13716			0.952962          0.450518            0.657714
2.77261		25.2802       0.901164       5.62258e+06        8.63398e+06        3.0114e+06         0.224832			0.9          0.450518            0.865398
22.4188		29.6739       0.569637       5.65515e+06        7.11568e+06        1.46053e+06         0.446799			0.9          0.450518            0.859891
17.5035		25.0985       0.589139       3.54085e+06        8.26662e+06        4.72577e+06         -0.190088			0.956932          0.450518            0.468855
